#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321B1F549
#Date Time: 2025-04-28 02:18:27.977
#Start: 10 Hz
#Stop: 100000 Hz
#Steps: 861
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.49366 V
#Offset: 9.30023e-05 V
#Relative: no

#
Frequency (Hz),Channel 1 Magnitude (dB)
10,45.90987299665137
10.10767252202549,45.98870447751711
10.21650438125091,46.06543029805445
10.32650806055228,46.14222482799916
10.4376961772119,46.22634918305138
10.55008148436553,46.31011232193366
10.66367687246513,46.3889354990113
10.77849537075744,46.47717595450045
10.89455014877839,46.55240395272776
11.01185451786361,46.63073725021955
11.13042193267523,46.70647787742879
11.25026599274513,46.77667342938168
11.37140044403476,46.86342412854351
11.49383918051186,46.93938851193672
11.61759624574397,47.01806996885433
11.74268583450929,47.09128550251658
11.86912229442474,47.17318965802355
11.99692012759171,47.2444117682963
12.12609399225932,47.31046205729956
12.25665870450579,47.39905400344085
12.38862923993778,47.46886197202993
12.52202073540805,47.54266843082782
12.65684849075173,47.61176622382597
12.79312797054111,47.70155831702486
12.93087480585941,47.76498324422001
13.07010479609369,47.84244043958704
13.21083391074696,47.91606137820217
13.35307829126996,47.9737635744881
13.49685425291245,48.05237766114211
13.6421782865946,48.12833904367799
13.78906706079849,48.19889274792837
13.93753742347997,48.27310914001902
14.08760640400105,48.34591141899911
14.23929121508317,48.41636858954799
14.39260925478151,48.48366738511412
14.54757810848047,48.55683915149206
14.70421555091076,48.61936679100049
14.86253954818806,48.69232876305118
15.02256825987376,48.7636423609156
15.18432004105782,48.81716243657858
15.34781344446411,48.86836330128487
15.51306722257833,48.92472017153021
15.68010032979893,48.98119617802418
15.84893192461114,49.01831066607237
16.01958137178445,49.07702845174533
16.19206824459371,49.11539320051187
16.36641232706413,49.155771063879
16.54263361624054,49.19063720707474
16.72075232448097,49.22562633548423
16.90078888177499,49.26100129372233
17.0827639380871,49.2929416377346
17.2666983657251,49.32597995102952
17.4526132617342,49.35681513221455
17.64052995031683,49.38884220333619
17.83046998527851,49.41707791961471
18.02245515249998,49.44697987709193
18.21650747243608,49.47548590420298
18.4126492026414,49.50064799377132
18.61090284032331,49.52174921739385
18.8112911249222,49.53809685515854
19.01383704071981,49.56753040016417
19.21856381947541,49.56589314256043
19.42549494309047,49.58638433140596
19.63465414630207,49.58093849504745
19.84606541940513,49.67320670487829
20.05975301100415,49.65895242774941
20.27574143079448,49.75051258085457
20.49405545237349,49.76779803651394
20.71472011608222,49.70705501238356
20.93776073187729,49.73777787562561
21.16320288223405,49.77943848038288
21.39107242508078,49.78666295122538
21.62139549676459,49.80690339276899
21.85419851504931,49.81810651187804
22.08950818214542,49.84157905787627
22.32735148777285,49.85915895698864
22.56775571225664,49.86377846497853
22.81074842965602,49.89119262749436
23.05635751092703,49.89632235492911
23.30461112711932,49.90753872530908
23.55553775260732,49.92411898309946
23.80916616835631,49.93931492704979
24.0655254652234,49.94939042704953
24.32464504729433,49.95681086430754
24.58655463525603,49.97153295537159
24.85128426980556,49.98246648965061
25.1188643150958,50.0025910971259
25.38932546221804,50.00279026981659
25.66269873272234,50.02310857733656
25.9390154821756,50.02802413889701
26.21830740375799,50.0351566730663
26.50060653189821,50.050742220233
26.78594524594767,50.05960038280939
27.07435627389446,50.06808120251005
27.36587269611715,50.07719164021769
27.66052794917907,50.08765269685439
27.95835582966354,50.09198633261938
28.25939049805013,50.09933759384212
28.56366648263295,50.10785418832373
28.87121868348093,50.11829682855971
29.18208237644092,50.1225819627939
29.49629321718362,50.13377074422573
29.81388724529337,50.13709452403216
30.13490088840178,50.14693482909006
30.45937096636602,50.16119070207146
30.78733469549189,50.16397325773368
31.11882969280254,50.16816630442158
31.45389398035311,50.17107874771965
31.79256598959178,50.18429626227011
32.1348845657679,50.19339463453846
32.48088897238733,50.19868482353584
32.83061889571601,50.20105595961739
33.18411444933196,50.20481185096637
33.54141617872614,50.22096578954491
33.90256506595314,50.21953042856008
34.26760253433159,50.2244964253373
34.63657045319545,50.22765008181664
35.00951114269636,50.2328587873786
35.38646737865769,50.23718074015611
35.76748239748097,50.24278308548537
36.15259990110489,50.24482060498116
36.54186406201789,50.24605157531026
36.9353195283249,50.26316112807547
37.33301142886811,50.26212356247552
37.73498537840339,50.27190408187106
38.14128748283215,50.27180691261591
